#x/H z/H N ux_rms/Uc uz_rms/Uc uy_rms/Uc
3.00E+00 1.11E+00 224 1.58E-01 9.96E-02 1.18E-01
3.00E+00 1.14E+00 226 1.47E-01 1.01E-01 1.04E-01
3.00E+00 1.16E+00 254 1.44E-01 9.98E-02 1.08E-01
3.00E+00 1.19E+00 257 1.40E-01 8.99E-02 9.97E-02
3.00E+00 1.21E+00 261 1.28E-01 9.89E-02 1.01E-01
3.00E+00 1.24E+00 298 1.24E-01 8.97E-02 9.22E-02
3.00E+00 1.26E+00 298 1.27E-01 8.77E-02 8.46E-02
3.00E+00 1.28E+00 354 1.11E-01 7.97E-02 8.83E-02
3.00E+00 1.31E+00 326 1.04E-01 7.42E-02 7.06E-02
3.00E+00 1.33E+00 325 9.35E-02 6.86E-02 6.52E-02
3.00E+00 1.36E+00 390 8.68E-02 5.98E-02 6.60E-02
3.00E+00 1.38E+00 419 7.82E-02 6.11E-02 5.74E-02
3.00E+00 1.41E+00 419 7.89E-02 6.08E-02 5.70E-02
3.00E+00 1.43E+00 464 7.11E-02 5.23E-02 5.78E-02
3.00E+00 1.45E+00 476 7.59E-02 5.55E-02 5.72E-02
3.00E+00 1.48E+00 470 6.97E-02 5.08E-02 5.72E-02
3.00E+00 1.50E+00 464 7.25E-02 4.59E-02 5.14E-02
3.00E+00 1.53E+00 520 6.45E-02 4.83E-02 5.23E-02
3.00E+00 1.55E+00 497 6.46E-02 4.43E-02 5.09E-02
3.00E+00 1.58E+00 504 6.01E-02 4.04E-02 4.52E-02
3.00E+00 1.60E+00 600 6.25E-02 4.40E-02 4.53E-02
3.00E+00 1.63E+00 503 5.72E-02 4.16E-02 4.47E-02
3.00E+00 1.65E+00 584 5.76E-02 4.23E-02 4.33E-02
3.00E+00 1.67E+00 581 5.79E-02 3.99E-02 4.16E-02
3.00E+00 1.70E+00 589 5.58E-02 3.80E-02 3.89E-02
3.00E+00 1.72E+00 602 5.16E-02 3.96E-02 4.06E-02
3.00E+00 1.75E+00 607 5.33E-02 3.96E-02 3.86E-02
3.00E+00 1.77E+00 617 5.29E-02 3.95E-02 3.83E-02
3.00E+00 1.80E+00 621 4.63E-02 3.55E-02 3.61E-02
3.00E+00 1.82E+00 668 4.87E-02 3.76E-02 3.76E-02
3.00E+00 1.85E+00 750 4.73E-02 3.81E-02 3.54E-02
3.00E+00 1.87E+00 706 4.61E-02 3.82E-02 3.56E-02
3.00E+00 1.89E+00 736 4.39E-02 3.61E-02 3.55E-02
3.00E+00 1.92E+00 717 4.44E-02 3.43E-02 3.40E-02
3.00E+00 1.94E+00 707 4.50E-02 3.78E-02 3.39E-02
3.00E+00 1.97E+00 753 4.54E-02 3.68E-02 3.66E-02
3.00E+00 1.99E+00 716 4.36E-02 3.47E-02 3.38E-02
3.00E+00 2.02E+00 753 4.42E-02 3.60E-02 3.69E-02
3.00E+00 2.04E+00 766 4.47E-02 3.66E-02 3.67E-02
3.00E+00 2.07E+00 724 4.74E-02 3.66E-02 3.46E-02
3.00E+00 2.09E+00 740 4.67E-02 3.74E-02 3.43E-02
3.00E+00 2.12E+00 785 4.86E-02 3.72E-02 3.75E-02
3.00E+00 2.14E+00 768 4.77E-02 3.79E-02 3.82E-02
3.00E+00 2.16E+00 782 5.10E-02 3.78E-02 3.85E-02
3.00E+00 2.19E+00 733 5.46E-02 3.96E-02 3.78E-02
3.00E+00 2.21E+00 724 5.59E-02 3.99E-02 4.36E-02
3.00E+00 2.24E+00 719 5.30E-02 4.06E-02 4.08E-02
3.00E+00 2.26E+00 725 5.70E-02 4.01E-02 4.24E-02
3.00E+00 2.29E+00 698 5.77E-02 4.20E-02 4.48E-02
3.00E+00 2.31E+00 697 6.07E-02 4.43E-02 4.67E-02
3.00E+00 2.34E+00 660 6.43E-02 4.24E-02 4.84E-02
3.00E+00 2.36E+00 652 5.83E-02 4.20E-02 4.71E-02
3.00E+00 2.38E+00 654 6.40E-02 4.37E-02 4.90E-02
3.00E+00 2.41E+00 691 6.43E-02 4.31E-02 4.78E-02
3.00E+00 2.43E+00 611 6.84E-02 4.24E-02 4.68E-02
3.00E+00 2.46E+00 626 6.67E-02 4.58E-02 5.29E-02
3.00E+00 2.48E+00 623 7.09E-02 4.77E-02 5.22E-02
3.00E+00 2.51E+00 594 7.61E-02 4.56E-02 5.31E-02
3.00E+00 2.53E+00 598 7.01E-02 4.55E-02 5.44E-02
3.00E+00 2.55E+00 593 7.52E-02 4.70E-02 5.85E-02
3.00E+00 2.58E+00 592 7.95E-02 4.77E-02 5.85E-02
3.00E+00 2.60E+00 587 7.85E-02 4.83E-02 6.06E-02
3.00E+00 2.63E+00 601 7.98E-02 4.86E-02 5.84E-02
3.00E+00 2.65E+00 534 8.16E-02 5.06E-02 6.30E-02
3.00E+00 2.68E+00 576 8.82E-02 4.89E-02 6.23E-02
3.00E+00 2.70E+00 572 9.15E-02 5.14E-02 6.26E-02
3.00E+00 2.73E+00 618 9.06E-02 5.37E-02 6.35E-02
3.00E+00 2.75E+00 558 9.82E-02 5.25E-02 6.50E-02
3.00E+00 2.78E+00 603 1.02E-01 5.36E-02 6.50E-02
3.00E+00 2.80E+00 584 1.07E-01 4.84E-02 6.57E-02
3.00E+00 2.82E+00 600 1.07E-01 4.80E-02 6.80E-02
3.00E+00 2.85E+00 611 1.18E-01 4.70E-02 6.53E-02
3.00E+00 2.87E+00 564 1.33E-01 4.31E-02 6.38E-02
3.00E+00 2.90E+00 560 1.42E-01 3.35E-02 6.59E-02
3.00E+00 2.92E+00 523 1.53E-01 2.83E-02 5.74E-02
3.00E+00 2.95E+00 538 1.29E-01 1.59E-02 4.37E-02
3.00E+00 2.96E+00 148 7.92E-02 9.63E-03 2.53E-02


#x/H z/H N ux_rms/Uc uz_rms/Uc uy_rms/Uc
4.02E+00 2.03E-02 27 3.63E-02 1.33E-02 3.73E-02
4.02E+00 3.83E-02 197 7.03E-02 2.40E-02 8.82E-02
4.02E+00 6.16E-02 213 8.14E-02 4.00E-02 8.67E-02
4.02E+00 8.62E-02 188 8.81E-02 6.37E-02 9.92E-02
4.02E+00 1.11E-01 153 8.76E-02 6.56E-02 8.32E-02
4.02E+00 1.35E-01 186 9.43E-02 7.06E-02 1.08E-01
4.02E+00 1.59E-01 154 1.08E-01 7.69E-02 9.97E-02
4.02E+00 1.84E-01 192 9.77E-02 7.77E-02 9.36E-02
4.02E+00 2.07E-01 176 1.22E-01 7.43E-02 8.58E-02
4.02E+00 2.32E-01 187 9.25E-02 7.98E-02 1.02E-01
4.02E+00 2.57E-01 212 9.93E-02 9.13E-02 1.08E-01
4.02E+00 2.81E-01 212 1.14E-01 9.47E-02 1.07E-01
4.02E+00 3.06E-01 223 1.25E-01 1.03E-01 9.69E-02
4.02E+00 3.31E-01 207 1.27E-01 1.01E-01 1.05E-01
4.02E+00 3.55E-01 256 1.19E-01 9.94E-02 1.21E-01
4.02E+00 3.79E-01 200 1.26E-01 1.08E-01 1.14E-01
4.02E+00 4.03E-01 285 1.34E-01 1.05E-01 1.09E-01
4.02E+00 4.28E-01 203 1.63E-01 1.13E-01 1.34E-01
4.02E+00 4.52E-01 233 1.44E-01 1.16E-01 1.36E-01
4.02E+00 4.77E-01 199 1.34E-01 1.22E-01 1.32E-01
4.02E+00 5.02E-01 228 1.40E-01 1.12E-01 1.34E-01
4.02E+00 5.25E-01 240 1.35E-01 1.15E-01 1.37E-01
4.02E+00 5.50E-01 246 1.58E-01 1.18E-01 1.16E-01
4.02E+00 5.74E-01 241 1.55E-01 1.11E-01 1.42E-01
4.02E+00 5.98E-01 248 1.78E-01 1.14E-01 1.39E-01
4.02E+00 6.23E-01 267 1.61E-01 1.22E-01 1.34E-01
4.02E+00 6.48E-01 237 1.66E-01 1.23E-01 1.31E-01
4.02E+00 6.72E-01 229 1.62E-01 1.31E-01 1.41E-01
4.02E+00 6.97E-01 211 1.70E-01 1.33E-01 1.48E-01
4.02E+00 7.21E-01 224 1.84E-01 1.33E-01 1.38E-01
4.02E+00 7.47E-01 217 1.89E-01 1.32E-01 1.33E-01
4.02E+00 7.71E-01 262 1.75E-01 1.28E-01 1.41E-01
4.02E+00 7.95E-01 237 1.66E-01 1.22E-01 1.47E-01
4.02E+00 8.19E-01 244 1.73E-01 1.20E-01 1.52E-01
4.02E+00 8.44E-01 294 1.67E-01 1.11E-01 1.45E-01
4.02E+00 8.68E-01 306 1.71E-01 1.19E-01 1.48E-01
4.02E+00 8.93E-01 280 1.76E-01 1.20E-01 1.28E-01
4.02E+00 9.17E-01 321 1.64E-01 1.21E-01 1.48E-01
4.02E+00 9.41E-01 306 1.68E-01 1.21E-01 1.22E-01
4.02E+00 9.66E-01 360 1.66E-01 1.23E-01 1.33E-01
4.02E+00 9.91E-01 316 1.59E-01 1.15E-01 1.23E-01
4.02E+00 1.01E+00 344 1.50E-01 1.05E-01 1.35E-01
4.02E+00 1.04E+00 383 1.51E-01 9.41E-02 1.28E-01
4.02E+00 1.06E+00 386 1.57E-01 9.60E-02 1.13E-01
4.02E+00 1.09E+00 387 1.48E-01 1.06E-01 1.12E-01
4.02E+00 1.11E+00 413 1.50E-01 1.03E-01 1.18E-01
4.02E+00 1.14E+00 446 1.37E-01 9.33E-02 1.03E-01
4.02E+00 1.16E+00 472 1.47E-01 9.40E-02 1.05E-01
4.02E+00 1.19E+00 460 1.31E-01 9.10E-02 9.93E-02
4.02E+00 1.21E+00 490 1.31E-01 8.51E-02 8.98E-02
4.02E+00 1.23E+00 562 1.17E-01 8.63E-02 9.40E-02
4.02E+00 1.26E+00 504 1.14E-01 7.82E-02 8.25E-02
4.02E+00 1.28E+00 549 1.05E-01 7.60E-02 8.21E-02
4.02E+00 1.31E+00 596 9.49E-02 6.81E-02 7.61E-02
4.02E+00 1.33E+00 618 1.01E-01 6.92E-02 7.31E-02
4.02E+00 1.36E+00 601 9.06E-02 6.79E-02 6.88E-02
4.02E+00 1.38E+00 606 8.63E-02 6.19E-02 6.08E-02
4.02E+00 1.41E+00 680 7.52E-02 5.82E-02 6.26E-02
4.02E+00 1.43E+00 731 7.55E-02 5.88E-02 5.89E-02
4.02E+00 1.45E+00 711 7.44E-02 5.29E-02 5.82E-02
4.02E+00 1.48E+00 696 7.28E-02 5.15E-02 5.40E-02
4.02E+00 1.50E+00 699 6.91E-02 5.48E-02 5.21E-02
4.02E+00 1.53E+00 755 6.40E-02 4.82E-02 4.93E-02
4.02E+00 1.55E+00 738 6.15E-02 4.94E-02 4.62E-02
4.02E+00 1.58E+00 771 5.92E-02 4.66E-02 4.71E-02
4.02E+00 1.60E+00 744 5.71E-02 4.37E-02 4.34E-02
4.02E+00 1.63E+00 738 5.69E-02 4.60E-02 4.51E-02
4.02E+00 1.65E+00 790 5.74E-02 4.50E-02 4.29E-02
4.02E+00 1.67E+00 746 5.45E-02 4.05E-02 4.12E-02
4.02E+00 1.70E+00 768 5.09E-02 4.11E-02 3.95E-02
4.02E+00 1.72E+00 745 5.02E-02 4.05E-02 3.87E-02
4.02E+00 1.75E+00 774 5.01E-02 4.05E-02 3.85E-02
4.02E+00 1.77E+00 767 5.25E-02 3.89E-02 3.83E-02
4.02E+00 1.80E+00 782 4.62E-02 4.04E-02 3.57E-02
4.02E+00 1.82E+00 768 4.64E-02 3.80E-02 3.43E-02
4.02E+00 1.85E+00 703 4.56E-02 3.63E-02 3.57E-02
4.02E+00 1.87E+00 777 4.43E-02 3.66E-02 3.74E-02
4.02E+00 1.90E+00 808 4.62E-02 3.73E-02 3.66E-02
4.02E+00 1.92E+00 767 4.41E-02 3.78E-02 3.55E-02
4.02E+00 1.94E+00 734 4.38E-02 3.70E-02 3.60E-02
4.02E+00 1.97E+00 757 4.31E-02 3.83E-02 3.50E-02
4.02E+00 1.99E+00 739 4.35E-02 3.48E-02 3.50E-02
4.02E+00 2.02E+00 742 4.59E-02 3.66E-02 3.70E-02
4.02E+00 2.04E+00 696 4.67E-02 3.72E-02 3.50E-02
4.02E+00 2.07E+00 715 4.51E-02 3.64E-02 3.62E-02
4.02E+00 2.09E+00 663 5.02E-02 3.66E-02 3.62E-02
4.02E+00 2.11E+00 666 4.97E-02 3.81E-02 4.08E-02
4.02E+00 2.14E+00 596 5.20E-02 3.78E-02 3.84E-02
4.02E+00 2.16E+00 616 5.16E-02 3.93E-02 3.83E-02
4.02E+00 2.19E+00 656 5.30E-02 3.79E-02 4.33E-02
4.02E+00 2.21E+00 616 5.45E-02 3.75E-02 3.98E-02
4.02E+00 2.24E+00 707 5.84E-02 3.91E-02 4.39E-02
4.02E+00 2.26E+00 652 5.90E-02 3.96E-02 4.28E-02
4.02E+00 2.29E+00 627 6.48E-02 4.30E-02 4.53E-02
4.02E+00 2.31E+00 658 6.14E-02 4.06E-02 4.34E-02
4.02E+00 2.34E+00 638 6.42E-02 4.13E-02 4.88E-02
4.02E+00 2.36E+00 637 6.38E-02 4.37E-02 4.85E-02
4.02E+00 2.38E+00 629 6.66E-02 4.30E-02 5.01E-02
4.02E+00 2.41E+00 647 6.91E-02 4.44E-02 5.29E-02
4.02E+00 2.43E+00 629 7.06E-02 4.49E-02 4.90E-02
4.02E+00 2.46E+00 644 7.09E-02 4.59E-02 5.47E-02
4.02E+00 2.48E+00 682 7.72E-02 4.37E-02 5.39E-02
4.02E+00 2.51E+00 681 7.32E-02 4.46E-02 5.45E-02
4.02E+00 2.53E+00 602 7.59E-02 4.55E-02 5.70E-02
4.02E+00 2.56E+00 606 8.16E-02 4.96E-02 5.65E-02
4.02E+00 2.58E+00 538 8.10E-02 4.64E-02 5.67E-02
4.02E+00 2.60E+00 597 8.48E-02 4.89E-02 6.11E-02
4.02E+00 2.63E+00 596 8.08E-02 4.93E-02 5.93E-02
4.02E+00 2.65E+00 533 8.37E-02 4.73E-02 6.32E-02
4.02E+00 2.68E+00 571 8.74E-02 4.83E-02 6.32E-02
4.02E+00 2.70E+00 545 9.00E-02 5.06E-02 6.57E-02
4.02E+00 2.73E+00 553 9.31E-02 5.12E-02 6.50E-02
4.02E+00 2.75E+00 487 9.48E-02 5.07E-02 7.13E-02
4.02E+00 2.78E+00 482 9.74E-02 5.10E-02 6.87E-02
4.02E+00 2.80E+00 551 1.04E-01 5.31E-02 6.88E-02
4.02E+00 2.82E+00 511 1.09E-01 4.94E-02 7.25E-02
4.02E+00 2.85E+00 542 1.15E-01 4.93E-02 6.88E-02
4.02E+00 2.87E+00 497 1.26E-01 4.33E-02 6.91E-02
4.02E+00 2.90E+00 487 1.42E-01 3.84E-02 6.49E-02
4.02E+00 2.92E+00 466 1.36E-01 2.78E-02 5.77E-02
4.02E+00 2.95E+00 438 1.23E-01 1.75E-02 4.68E-02
4.02E+00 2.96E+00 141 7.70E-02 9.06E-03 3.32E-02


#x/H z/H N ux_rms/Uc uz_rms/Uc uy_rms/Uc
5.00E+00 2.13E-02 55 3.24E-02 1.55E-02 3.41E-02
5.00E+00 3.75E-02 361 6.50E-02 2.01E-02 6.26E-02
5.00E+00 6.03E-02 325 9.55E-02 4.69E-02 8.46E-02
5.00E+00 8.59E-02 295 1.00E-01 5.97E-02 8.95E-02
5.00E+00 1.10E-01 312 9.28E-02 7.38E-02 9.06E-02
5.00E+00 1.35E-01 287 1.11E-01 8.16E-02 1.12E-01
5.00E+00 1.58E-01 289 1.05E-01 8.50E-02 9.72E-02
5.00E+00 1.83E-01 291 9.99E-02 8.81E-02 1.07E-01
5.00E+00 2.08E-01 284 1.14E-01 9.16E-02 9.95E-02
5.00E+00 2.33E-01 251 1.17E-01 1.07E-01 1.04E-01
5.00E+00 2.56E-01 241 1.34E-01 1.03E-01 1.05E-01
5.00E+00 2.82E-01 255 1.30E-01 1.15E-01 1.12E-01
5.00E+00 3.06E-01 307 1.25E-01 1.01E-01 1.19E-01
5.00E+00 3.29E-01 244 1.33E-01 1.09E-01 1.16E-01
5.00E+00 3.54E-01 239 1.36E-01 1.12E-01 1.30E-01
5.00E+00 3.79E-01 253 1.40E-01 1.15E-01 1.17E-01
5.00E+00 4.04E-01 245 1.50E-01 1.24E-01 1.15E-01
5.00E+00 4.28E-01 263 1.61E-01 1.21E-01 1.20E-01
5.00E+00 4.52E-01 290 1.43E-01 1.29E-01 1.32E-01
5.00E+00 4.76E-01 244 1.45E-01 1.16E-01 1.26E-01
5.00E+00 5.02E-01 255 1.57E-01 1.28E-01 1.31E-01
5.00E+00 5.25E-01 225 1.56E-01 1.14E-01 1.24E-01
5.00E+00 5.51E-01 220 1.54E-01 1.25E-01 1.15E-01
5.00E+00 5.74E-01 234 1.47E-01 1.05E-01 1.32E-01
5.00E+00 5.98E-01 269 1.66E-01 1.29E-01 1.30E-01
5.00E+00 6.23E-01 289 1.66E-01 1.14E-01 1.52E-01
5.00E+00 6.48E-01 225 1.56E-01 1.33E-01 1.35E-01
5.00E+00 6.74E-01 214 1.60E-01 1.13E-01 1.40E-01
5.00E+00 6.97E-01 224 1.56E-01 1.12E-01 1.45E-01
5.00E+00 7.21E-01 227 1.70E-01 1.23E-01 1.57E-01
5.00E+00 7.46E-01 192 1.79E-01 1.30E-01 1.42E-01
5.00E+00 7.71E-01 200 1.60E-01 1.21E-01 1.50E-01
5.00E+00 7.95E-01 168 1.78E-01 1.28E-01 1.49E-01
5.00E+00 8.19E-01 195 1.71E-01 1.31E-01 1.39E-01
5.00E+00 8.44E-01 217 1.43E-01 1.12E-01 1.46E-01
5.00E+00 8.67E-01 233 1.80E-01 1.13E-01 1.38E-01
5.00E+00 8.93E-01 215 1.82E-01 1.15E-01 1.42E-01
5.00E+00 9.17E-01 226 1.64E-01 1.13E-01 1.25E-01
5.00E+00 9.42E-01 209 1.59E-01 1.05E-01 1.37E-01
5.00E+00 9.66E-01 219 1.80E-01 1.15E-01 1.39E-01
5.00E+00 9.90E-01 230 1.76E-01 1.03E-01 1.33E-01
5.00E+00 1.01E+00 243 1.51E-01 1.03E-01 1.34E-01
5.00E+00 1.04E+00 231 1.43E-01 1.06E-01 1.31E-01
5.00E+00 1.06E+00 221 1.57E-01 1.00E-01 1.14E-01
5.00E+00 1.09E+00 258 1.65E-01 1.05E-01 1.13E-01
5.00E+00 1.11E+00 214 1.51E-01 9.34E-02 1.03E-01
5.00E+00 1.14E+00 276 1.30E-01 8.83E-02 1.05E-01
5.00E+00 1.16E+00 250 1.22E-01 8.24E-02 9.57E-02
5.00E+00 1.19E+00 301 1.26E-01 8.80E-02 1.02E-01
5.00E+00 1.21E+00 268 1.19E-01 8.38E-02 1.02E-01
5.00E+00 1.23E+00 275 1.03E-01 7.07E-02 8.88E-02
5.00E+00 1.26E+00 275 1.06E-01 7.89E-02 8.03E-02
5.00E+00 1.28E+00 288 9.79E-02 6.74E-02 8.56E-02
5.00E+00 1.31E+00 311 1.07E-01 7.23E-02 7.24E-02
5.00E+00 1.33E+00 311 1.01E-01 7.17E-02 6.48E-02
5.00E+00 1.36E+00 301 8.94E-02 6.97E-02 6.86E-02
5.00E+00 1.38E+00 356 8.26E-02 6.29E-02 6.55E-02
5.00E+00 1.40E+00 345 8.97E-02 5.95E-02 6.25E-02
5.00E+00 1.43E+00 341 7.68E-02 5.69E-02 6.09E-02
5.00E+00 1.46E+00 310 7.00E-02 5.51E-02 5.37E-02
5.00E+00 1.48E+00 314 6.62E-02 5.46E-02 5.80E-02
5.00E+00 1.50E+00 373 6.62E-02 5.31E-02 5.12E-02
5.00E+00 1.53E+00 379 6.69E-02 5.07E-02 5.08E-02
5.00E+00 1.55E+00 373 6.09E-02 4.67E-02 4.99E-02
5.00E+00 1.58E+00 393 5.99E-02 4.61E-02 4.91E-02
5.00E+00 1.60E+00 386 5.89E-02 4.66E-02 4.39E-02
5.00E+00 1.63E+00 358 5.32E-02 4.45E-02 4.52E-02
5.00E+00 1.65E+00 375 5.61E-02 4.44E-02 4.22E-02
5.00E+00 1.67E+00 350 5.28E-02 4.49E-02 4.01E-02
5.00E+00 1.70E+00 387 5.22E-02 4.19E-02 3.95E-02
5.00E+00 1.72E+00 387 5.20E-02 4.50E-02 3.79E-02
5.00E+00 1.75E+00 387 5.07E-02 4.07E-02 4.17E-02
5.00E+00 1.77E+00 383 4.35E-02 4.37E-02 3.74E-02
5.00E+00 1.80E+00 353 4.53E-02 4.09E-02 3.49E-02
5.00E+00 1.82E+00 343 4.71E-02 4.18E-02 3.86E-02
5.00E+00 1.85E+00 401 4.84E-02 4.06E-02 3.62E-02
5.00E+00 1.87E+00 447 4.60E-02 4.17E-02 3.65E-02
5.00E+00 1.90E+00 398 4.71E-02 4.07E-02 3.49E-02
5.00E+00 1.92E+00 360 4.86E-02 4.10E-02 3.97E-02
5.00E+00 1.94E+00 372 4.24E-02 3.73E-02 3.47E-02
5.00E+00 1.97E+00 415 4.56E-02 3.77E-02 3.69E-02
5.00E+00 1.99E+00 395 5.19E-02 3.90E-02 3.58E-02
5.00E+00 2.02E+00 399 4.99E-02 4.13E-02 3.47E-02
5.00E+00 2.04E+00 391 4.73E-02 4.01E-02 3.86E-02
5.00E+00 2.07E+00 402 5.19E-02 4.35E-02 4.07E-02
5.00E+00 2.09E+00 387 5.46E-02 4.02E-02 4.17E-02
5.00E+00 2.12E+00 417 5.44E-02 3.89E-02 4.28E-02
5.00E+00 2.14E+00 376 5.56E-02 4.00E-02 4.36E-02
5.00E+00 2.16E+00 405 5.94E-02 4.39E-02 4.38E-02
5.00E+00 2.19E+00 368 5.93E-02 4.01E-02 3.61E-02
5.00E+00 2.21E+00 356 5.92E-02 4.20E-02 4.61E-02
5.00E+00 2.24E+00 410 6.36E-02 4.44E-02 4.73E-02
5.00E+00 2.26E+00 371 6.84E-02 4.19E-02 4.45E-02
5.00E+00 2.29E+00 352 6.56E-02 4.23E-02 4.63E-02
5.00E+00 2.31E+00 346 7.09E-02 4.49E-02 4.95E-02
5.00E+00 2.34E+00 364 7.48E-02 4.57E-02 5.41E-02
5.00E+00 2.36E+00 380 6.92E-02 4.65E-02 5.23E-02
5.00E+00 2.38E+00 299 7.39E-02 4.68E-02 5.01E-02
5.00E+00 2.41E+00 315 7.37E-02 4.58E-02 5.28E-02
5.00E+00 2.43E+00 314 7.06E-02 5.11E-02 5.77E-02
5.00E+00 2.46E+00 289 7.24E-02 5.06E-02 5.77E-02
5.00E+00 2.48E+00 306 7.56E-02 4.90E-02 6.31E-02
5.00E+00 2.51E+00 264 7.24E-02 4.77E-02 5.95E-02
5.00E+00 2.53E+00 272 8.24E-02 4.78E-02 5.66E-02
5.00E+00 2.56E+00 270 8.11E-02 4.85E-02 6.55E-02
5.00E+00 2.58E+00 280 8.17E-02 4.64E-02 6.47E-02
5.00E+00 2.60E+00 283 8.28E-02 5.24E-02 6.05E-02
5.00E+00 2.63E+00 280 7.82E-02 5.05E-02 5.97E-02
5.00E+00 2.65E+00 267 8.53E-02 4.97E-02 6.30E-02
5.00E+00 2.68E+00 261 9.82E-02 5.41E-02 7.06E-02
5.00E+00 2.70E+00 259 9.71E-02 5.21E-02 6.73E-02
5.00E+00 2.73E+00 256 9.75E-02 5.48E-02 6.82E-02
5.00E+00 2.75E+00 266 1.04E-01 5.19E-02 6.61E-02
5.00E+00 2.78E+00 275 1.03E-01 5.82E-02 7.15E-02
5.00E+00 2.80E+00 297 1.05E-01 5.30E-02 6.66E-02
5.00E+00 2.82E+00 289 1.10E-01 5.40E-02 7.21E-02
5.00E+00 2.85E+00 278 1.26E-01 5.08E-02 6.89E-02
5.00E+00 2.87E+00 268 1.31E-01 4.75E-02 7.11E-02
5.00E+00 2.90E+00 261 1.44E-01 4.66E-02 7.14E-02
5.00E+00 2.92E+00 279 1.55E-01 3.58E-02 6.13E-02
5.00E+00 2.95E+00 297 1.44E-01 2.08E-02 5.47E-02
5.00E+00 2.96E+00 83 0.00E+00 0.00E+00 3.07E-02


#x/H z/H N ux_rms/Uc uz_rms/Uc uy_rms/Uc
6.02E+00 2.10E-02 51 2.67E-02 1.15E-02 3.28E-02
6.02E+00 3.59E-02 267 6.97E-02 2.20E-02 8.08E-02
6.02E+00 6.14E-02 283 9.21E-02 3.86E-02 8.64E-02
6.02E+00 8.52E-02 242 9.81E-02 5.87E-02 1.01E-01
6.02E+00 1.11E-01 259 9.19E-02 7.67E-02 1.01E-01
6.02E+00 1.35E-01 250 1.07E-01 7.40E-02 1.01E-01
6.02E+00 1.59E-01 238 1.14E-01 8.12E-02 1.02E-01
6.02E+00 1.83E-01 249 1.12E-01 9.70E-02 1.20E-01
6.02E+00 2.08E-01 275 1.14E-01 9.04E-02 1.11E-01
6.02E+00 2.32E-01 289 1.17E-01 9.12E-02 1.10E-01
6.02E+00 2.56E-01 245 1.23E-01 9.85E-02 1.14E-01
6.02E+00 2.82E-01 249 1.28E-01 1.01E-01 1.25E-01
6.02E+00 3.06E-01 247 1.32E-01 1.08E-01 1.25E-01
6.02E+00 3.30E-01 255 1.30E-01 1.08E-01 1.16E-01
6.02E+00 3.55E-01 230 1.34E-01 1.15E-01 1.16E-01
6.02E+00 3.78E-01 284 1.41E-01 1.14E-01 1.34E-01
6.02E+00 4.03E-01 262 1.38E-01 1.13E-01 1.24E-01
6.02E+00 4.28E-01 266 1.52E-01 1.21E-01 1.12E-01
6.02E+00 4.53E-01 293 1.41E-01 1.17E-01 1.29E-01
6.02E+00 4.77E-01 285 1.55E-01 1.21E-01 1.35E-01
6.02E+00 5.02E-01 288 1.54E-01 1.10E-01 1.36E-01
6.02E+00 5.25E-01 254 1.71E-01 1.19E-01 1.42E-01
6.02E+00 5.51E-01 289 1.62E-01 1.12E-01 1.45E-01
6.02E+00 5.75E-01 326 1.56E-01 1.21E-01 1.52E-01
6.02E+00 5.98E-01 306 1.66E-01 1.22E-01 1.36E-01
6.02E+00 6.23E-01 331 1.67E-01 1.29E-01 1.38E-01
6.02E+00 6.48E-01 318 1.56E-01 1.15E-01 1.43E-01
6.02E+00 6.73E-01 311 1.81E-01 1.30E-01 1.34E-01
6.02E+00 6.97E-01 284 1.66E-01 1.25E-01 1.31E-01
6.02E+00 7.21E-01 314 1.63E-01 1.23E-01 1.51E-01
6.02E+00 7.46E-01 345 1.65E-01 1.15E-01 1.43E-01
6.02E+00 7.70E-01 348 1.76E-01 1.18E-01 1.46E-01
6.02E+00 7.95E-01 327 1.69E-01 1.12E-01 1.31E-01
6.02E+00 8.19E-01 365 1.69E-01 1.23E-01 1.28E-01
6.02E+00 8.43E-01 368 1.64E-01 1.22E-01 1.32E-01
6.02E+00 8.68E-01 369 1.67E-01 1.17E-01 1.42E-01
6.02E+00 8.93E-01 340 1.74E-01 1.15E-01 1.39E-01
6.02E+00 9.17E-01 391 1.74E-01 1.10E-01 1.17E-01
6.02E+00 9.41E-01 465 1.61E-01 1.10E-01 1.30E-01
6.02E+00 9.66E-01 433 1.74E-01 1.15E-01 1.20E-01
6.02E+00 9.90E-01 413 1.59E-01 1.09E-01 1.19E-01
6.02E+00 1.02E+00 425 1.53E-01 1.09E-01 1.22E-01
6.02E+00 1.04E+00 507 1.41E-01 1.02E-01 1.14E-01
6.02E+00 1.06E+00 471 1.44E-01 9.74E-02 9.67E-02
6.02E+00 1.09E+00 501 1.49E-01 1.03E-01 1.09E-01
6.02E+00 1.11E+00 516 1.40E-01 9.93E-02 1.02E-01
6.02E+00 1.14E+00 545 1.29E-01 7.78E-02 9.75E-02
6.02E+00 1.16E+00 621 1.36E-01 8.86E-02 9.55E-02
6.02E+00 1.19E+00 580 1.19E-01 8.90E-02 9.16E-02
6.02E+00 1.21E+00 619 1.16E-01 8.25E-02 9.07E-02
6.02E+00 1.23E+00 649 1.07E-01 8.28E-02 8.20E-02
6.02E+00 1.26E+00 651 1.11E-01 7.15E-02 8.04E-02
6.02E+00 1.28E+00 730 1.12E-01 7.56E-02 8.03E-02
