#x/H z/H N ux_rms/Uc uz_rms/Uc uy_rms/Uc
1.00E+00 8.49E-02 208 3.79E-02 1.70E-02 3.92E-02
1.00E+00 1.12E-01 254 3.58E-02 2.07E-02 4.21E-02
1.00E+00 1.34E-01 205 5.10E-02 2.67E-02 4.73E-02
1.00E+00 1.60E-01 203 4.98E-02 2.81E-02 5.03E-02
1.00E+00 1.83E-01 277 4.38E-02 2.43E-02 5.13E-02
1.00E+00 2.07E-01 299 5.29E-02 2.83E-02 5.17E-02
1.00E+00 2.33E-01 277 4.89E-02 2.86E-02 4.37E-02
1.00E+00 2.56E-01 298 5.08E-02 3.08E-02 4.84E-02
1.00E+00 2.81E-01 286 4.96E-02 3.03E-02 4.59E-02
1.00E+00 3.05E-01 304 5.62E-02 3.16E-02 4.17E-02
1.00E+00 3.31E-01 309 6.29E-02 3.03E-02 4.84E-02
1.00E+00 3.55E-01 397 5.18E-02 3.12E-02 4.81E-02
1.00E+00 3.78E-01 307 6.48E-02 3.30E-02 4.87E-02
1.00E+00 4.04E-01 350 5.85E-02 3.21E-02 4.26E-02
1.00E+00 4.29E-01 455 6.25E-02 3.17E-02 5.11E-02
1.00E+00 4.52E-01 424 5.92E-02 3.68E-02 4.75E-02
1.00E+00 4.76E-01 426 6.05E-02 3.77E-02 4.74E-02
1.00E+00 5.02E-01 379 6.66E-02 3.81E-02 4.57E-02
1.00E+00 5.25E-01 389 5.93E-02 3.67E-02 5.27E-02
1.00E+00 5.50E-01 376 6.16E-02 3.37E-02 4.96E-02
1.00E+00 5.75E-01 450 6.26E-02 3.48E-02 4.97E-02
1.00E+00 5.99E-01 417 6.48E-02 3.52E-02 4.80E-02
1.00E+00 6.23E-01 422 6.16E-02 3.66E-02 5.29E-02
1.00E+00 6.48E-01 453 6.14E-02 4.25E-02 5.07E-02
1.00E+00 6.73E-01 400 6.30E-02 4.11E-02 5.30E-02
1.00E+00 6.97E-01 434 5.86E-02 4.43E-02 5.65E-02
1.00E+00 7.21E-01 414 6.15E-02 4.36E-02 4.84E-02
1.00E+00 7.46E-01 417 6.90E-02 4.63E-02 5.44E-02
1.00E+00 7.70E-01 406 6.49E-02 5.32E-02 5.47E-02
1.00E+00 7.95E-01 463 7.14E-02 5.33E-02 6.20E-02
1.00E+00 8.19E-01 418 7.85E-02 6.35E-02 7.38E-02
1.00E+00 8.44E-01 397 8.71E-02 7.06E-02 7.44E-02
1.00E+00 8.68E-01 502 9.94E-02 8.43E-02 8.22E-02
1.00E+00 8.92E-01 462 1.05E-01 8.03E-02 9.69E-02
1.00E+00 9.17E-01 427 1.33E-01 9.91E-02 9.81E-02
1.00E+00 9.42E-01 394 1.47E-01 1.00E-01 1.06E-01
1.00E+00 9.66E-01 437 1.57E-01 1.02E-01 1.09E-01
1.00E+00 9.91E-01 461 1.71E-01 9.53E-02 1.09E-01
1.00E+00 1.01E+00 544 1.90E-01 1.01E-01 1.04E-01
1.00E+00 1.04E+00 526 1.91E-01 9.05E-02 9.90E-02
1.00E+00 1.06E+00 609 1.61E-01 7.66E-02 9.85E-02
1.00E+00 1.09E+00 750 1.50E-01 7.78E-02 8.75E-02
1.00E+00 1.11E+00 805 1.31E-01 6.76E-02 7.87E-02
1.00E+00 1.14E+00 935 1.18E-01 6.67E-02 7.71E-02
1.00E+00 1.16E+00 958 1.06E-01 6.30E-02 7.13E-02
1.00E+00 1.19E+00 1000 1.01E-01 6.02E-02 6.85E-02
1.00E+00 1.21E+00 1009 9.89E-02 6.02E-02 6.63E-02
1.00E+00 1.24E+00 1001 8.61E-02 5.84E-02 6.20E-02
1.00E+00 1.26E+00 976 8.97E-02 5.66E-02 6.10E-02
1.00E+00 1.28E+00 951 8.34E-02 5.57E-02 6.22E-02
1.00E+00 1.31E+00 1039 8.07E-02 5.07E-02 6.18E-02
1.00E+00 1.33E+00 1063 7.96E-02 5.07E-02 5.92E-02
1.00E+00 1.36E+00 1009 7.91E-02 4.97E-02 5.46E-02
1.00E+00 1.38E+00 1010 7.64E-02 5.00E-02 5.53E-02
1.00E+00 1.41E+00 980 7.34E-02 4.75E-02 5.64E-02
1.00E+00 1.43E+00 1018 7.02E-02 4.82E-02 5.35E-02
1.00E+00 1.45E+00 1012 6.99E-02 4.46E-02 5.30E-02
1.00E+00 1.48E+00 978 6.95E-02 4.81E-02 5.12E-02
1.00E+00 1.50E+00 1028 7.01E-02 4.44E-02 5.14E-02
1.00E+00 1.53E+00 1022 6.43E-02 4.46E-02 5.01E-02
1.00E+00 1.55E+00 965 6.26E-02 4.29E-02 4.85E-02
1.00E+00 1.58E+00 933 6.30E-02 4.48E-02 4.96E-02
