z Ux k                  epsilon 
2.170000e+00 9.880000e-01    2.695145e-03  2.021359e-04 
2.180000e+00 9.850000e-01    2.905690e-03  1.743414e-04 
2.190000e+00 9.840000e-01    2.849470e-03  1.139788e-04 
2.210000e+00 9.810000e-01    2.934430e-03  1.467215e-04 
2.220000e+00 9.790000e-01    2.891320e-03  2.168490e-04 
2.230000e+00 9.760000e-01    3.011625e-03  9.034875e-05 
2.240000e+00 9.770000e-01    3.121890e-03  1.404850e-04 
2.250000e+00 9.730000e-01    3.169495e-03  1.901697e-04 
2.270000e+00 9.710000e-01    3.340815e-03  2.004489e-04 
2.280000e+00 9.670000e-01    3.343230e-03  3.510392e-04 
2.290000e+00 9.640000e-01    3.375000e-03  3.037500e-04 
2.300000e+00 9.610000e-01    3.470850e-03  2.082510e-04 
2.320000e+00 9.580000e-01    3.647470e-03  1.823735e-04 
2.330000e+00 9.560000e-01    3.789290e-03  2.273574e-04 
2.340000e+00 9.540000e-01    3.746065e-03  3.371459e-04 
2.350000e+00 9.500000e-01    3.806525e-03  4.567830e-04 
2.360000e+00 9.460000e-01    3.911695e-03  1.564678e-04 
2.380000e+00 9.460000e-01    3.938230e-03  1.575292e-04 
2.390000e+00 9.420000e-01    3.880405e-03  3.492365e-04 
2.400000e+00 9.400000e-01    4.029625e-03  3.022219e-04 
2.410000e+00 9.370000e-01    4.119565e-03  2.471739e-04 
2.430000e+00 9.340000e-01    4.289095e-03  3.860186e-04 
2.440000e+00 9.280000e-01    4.359230e-03  3.923307e-04 
2.450000e+00 9.280000e-01    4.504510e-03  4.054059e-04 
2.460000e+00 9.220000e-01    4.487610e-03  3.590088e-04 
2.480000e+00 9.200000e-01    4.633985e-03  2.780391e-04 
2.490000e+00 9.160000e-01    4.947310e-03  5.936772e-04 
2.500000e+00 9.120000e-01    4.880230e-03  4.392207e-04 
2.510000e+00 9.100000e-01    4.753270e-03  4.990934e-04 
2.520000e+00 9.050000e-01    4.854145e-03  4.854145e-04 
2.540000e+00 9.000000e-01    4.940470e-03  5.434517e-04 
2.550000e+00 8.940000e-01    5.190250e-03  6.228300e-04 
2.560000e+00 8.920000e-01    5.144385e-03  3.858289e-04 
2.570000e+00 8.890000e-01    5.532010e-03  4.425608e-04 
2.590000e+00 8.840000e-01    5.603050e-03  5.603050e-04 
2.600000e+00 8.790000e-01    5.449980e-03  8.174970e-04 
2.610000e+00 8.740000e-01    5.682020e-03  1.022764e-03 
2.620000e+00 8.670000e-01    5.860445e-03  1.054880e-03 
2.630000e+00 8.620000e-01    5.937170e-03  5.343453e-04 
2.650000e+00 8.580000e-01    5.987905e-03  3.592743e-04 
2.660000e+00 8.560000e-01    6.072750e-03  6.376388e-04 
2.670000e+00 8.510000e-01    6.344760e-03  1.142057e-03 
2.680000e+00 8.440000e-01    6.570145e-03  9.855217e-04 
2.700000e+00 8.360000e-01    6.662965e-03  9.328151e-04 
2.710000e+00 8.300000e-01    6.607365e-03  8.919943e-04 
2.720000e+00 8.270000e-01    6.811255e-03  1.123857e-03 
2.730000e+00 8.190000e-01    7.076610e-03  1.698386e-03 
2.740000e+00 8.110000e-01    7.153845e-03  8.584614e-04 
2.760000e+00 8.070000e-01    7.256205e-03  9.433067e-04 
2.770000e+00 7.980000e-01    7.348665e-03  1.543220e-03 
2.780000e+00 7.930000e-01    7.430310e-03  1.448910e-03 
2.790000e+00 7.850000e-01    7.657180e-03  1.454864e-03 
2.810000e+00 7.740000e-01    8.184365e-03  1.473186e-03 
2.820000e+00 7.670000e-01    8.250670e-03  2.351441e-03 
2.830000e+00 7.550000e-01    8.563545e-03  2.440610e-03 
2.840000e+00 7.480000e-01    8.908260e-03  2.939726e-03 
2.850000e+00 7.330000e-01    9.367565e-03  3.091296e-03 
2.870000e+00 7.150000e-01    9.717025e-03  3.789640e-03 
2.880000e+00 6.940000e-01    1.070257e-02  7.384773e-03 
2.890000e+00 6.690000e-01    1.065240e-02  8.628444e-03 
2.900000e+00 6.400000e-01    1.116954e-02  7.595287e-03 
2.920000e+00 6.010000e-01    1.144500e-02  1.178835e-02 
2.930000e+00 5.370000e-01    1.153661e-02  2.647651e-02 
2.940000e+00 4.480000e-01    1.083387e-02  3.526423e-02 
2.950000e+00 3.200000e-01    7.633890e-03  2.736750e-02 
2.960000e+00 2.090000e-01    3.585159e-03  5.592849e-03 
2.970000e+00 2.160000e-01    2.388882e-02  3.744573e-02 
3.000000e+00 0.000000e+00    2.388882e-02  3.744573e-02 
